id,deviceid,floorspaceid,occupancystatus,headcount,collecteddate,occupancystatuschangedate,previousoccupancystatus
178836,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-26 10:56:40+11,2023-11-26 10:55:00+11,NotOccupied
184986,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-26 14:23:24+11,2023-11-26 14:23:24+11,NotOccupied
190823,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-26 17:19:00+11,2023-11-26 17:19:00+11,CurrentlyOccupied
195121,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-26 19:27:02+11,2023-11-26 19:27:02+11,CurrentlyOccupied
203339,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-11-27 08:17:20+11,2023-11-27 08:17:20+11,CurrentlyOccupied
207284,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-11-27 09:56:00+11,2023-11-27 09:56:00+11,RecentlyOccupied
210846,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-11-27 10:59:24+11,2023-11-27 10:58:40+11,NotOccupied
213909,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-11-27 11:47:22+11,2023-11-27 11:47:22+11,RecentlyOccupied
218274,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-27 12:54:40+11,2023-11-27 12:54:40+11,RecentlyOccupied
222041,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-11-27 13:54:40+11,2023-11-27 13:54:40+11,CurrentlyOccupied
227151,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-27 15:05:20+11,2023-11-27 15:05:20+11,CurrentlyOccupied
230139,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-11-27 15:51:40+11,2023-11-27 15:13:20+11,NotOccupied
232178,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,4,2023-11-27 16:22:24+11,2023-11-27 15:13:20+11,NotOccupied
234403,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-27 16:47:24+11,2023-11-27 15:13:20+11,NotOccupied
237261,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-27 17:38:40+11,2023-11-27 17:34:20+11,RecentlyOccupied
241235,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-27 19:22:20+11,2023-11-27 19:22:20+11,NotOccupied
244814,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-27 21:50:44+11,2023-11-27 21:50:44+11,RecentlyOccupied
247356,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,NotOccupied,0,2023-11-28 07:24:20+11,2023-11-28 07:24:20+11,RecentlyOccupied
249644,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-28 09:04:42+11,2023-11-28 09:04:40+11,NotOccupied
252415,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-28 10:14:24+11,2023-11-28 10:14:24+11,RecentlyOccupied
257061,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-28 11:36:42+11,2023-11-28 11:30:02+11,RecentlyOccupied
261408,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-28 12:40:20+11,2023-11-28 12:40:20+11,NotOccupied
264921,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-28 13:32:40+11,2023-11-28 13:32:40+11,CurrentlyOccupied
267984,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-11-28 14:15:24+11,2023-11-28 12:27:40+11,NotOccupied
270796,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-28 14:54:40+11,2023-11-28 14:37:20+11,RecentlyOccupied
273043,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,13,2023-11-28 15:20:44+11,2023-11-28 15:08:40+11,NotOccupied
275477,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,4,2023-11-28 15:51:00+11,2023-11-28 15:38:00+11,NotOccupied
278052,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-28 16:25:04+11,2023-11-28 16:03:02+11,RecentlyOccupied
280565,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-28 17:00:04+11,2023-11-28 16:03:02+11,NotOccupied
282685,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-28 17:30:20+11,2023-11-28 17:20:20+11,NotOccupied
285030,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-28 18:05:20+11,2023-11-28 18:03:22+11,RecentlyOccupied
287636,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-28 19:05:40+11,2023-11-28 18:50:20+11,NotOccupied
291006,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-11-28 20:52:20+11,2023-11-28 20:52:20+11,CurrentlyOccupied
293181,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-28 23:03:40+11,2023-11-28 23:03:40+11,CurrentlyOccupied
294880,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-29 07:29:22+11,2023-11-29 07:29:22+11,RecentlyOccupied
297503,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-29 09:17:00+11,2023-11-29 09:17:00+11,RecentlyOccupied
300897,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-29 10:25:20+11,2023-11-29 10:19:22+11,NotOccupied
303807,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-29 11:11:04+11,2023-11-29 11:11:04+11,NotOccupied
307204,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-29 12:05:24+11,2023-11-29 12:05:24+11,CurrentlyOccupied
310523,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-11-29 12:49:40+11,2023-11-29 12:22:20+11,NotOccupied
313317,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,4,2023-11-29 13:34:24+11,2023-11-29 12:22:20+11,NotOccupied
315755,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-11-29 14:14:00+11,2023-11-29 12:22:20+11,NotOccupied
317948,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,5,2023-11-29 14:34:02+11,2023-11-29 13:17:20+11,NotOccupied
320105,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-11-29 14:57:44+11,2023-11-29 14:57:44+11,CurrentlyOccupied
322593,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,4,2023-11-29 15:29:22+11,2023-11-29 14:59:00+11,NotOccupied
324450,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-29 15:51:00+11,2023-11-29 15:11:40+11,RecentlyOccupied
327821,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-29 16:32:40+11,2023-11-29 14:59:00+11,NotOccupied
330519,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-29 17:02:40+11,2023-11-29 17:01:00+11,RecentlyOccupied
332552,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-29 17:25:22+11,2023-11-29 14:59:00+11,NotOccupied
334645,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-11-29 17:52:04+11,2023-11-29 17:01:00+11,RecentlyOccupied
336877,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-29 18:28:42+11,2023-11-29 17:01:00+11,RecentlyOccupied
340873,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-29 19:48:24+11,2023-11-29 19:45:40+11,RecentlyOccupied
343927,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-29 21:04:20+11,2023-11-29 21:04:20+11,CurrentlyOccupied
346248,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-11-29 21:52:00+11,2023-11-29 21:14:00+11,RecentlyOccupied
348480,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-29 23:47:40+11,2023-11-29 21:14:00+11,RecentlyOccupied
353990,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-30 09:13:00+11,2023-11-30 09:13:00+11,RecentlyOccupied
358443,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-11-30 10:34:40+11,2023-11-30 10:34:40+11,CurrentlyOccupied
361426,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,10,2023-11-30 11:20:42+11,2023-11-30 11:09:40+11,RecentlyOccupied
365000,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-11-30 12:18:42+11,2023-11-30 12:07:40+11,NotOccupied
366796,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-11-30 12:42:40+11,2023-11-30 12:07:40+11,NotOccupied
368829,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-30 13:08:20+11,2023-11-30 12:07:40+11,NotOccupied
371110,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-30 13:45:20+11,2023-11-30 13:41:40+11,NotOccupied
373221,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-11-30 14:08:20+11,2023-11-30 12:07:40+11,NotOccupied
376222,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-11-30 14:52:20+11,2023-11-30 14:37:00+11,RecentlyOccupied
378284,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-11-30 15:22:42+11,2023-11-30 14:37:00+11,RecentlyOccupied
380704,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-11-30 16:03:00+11,2023-11-30 16:03:00+11,RecentlyOccupied
384507,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-30 17:03:44+11,2023-11-30 17:03:44+11,NotOccupied
388557,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-11-30 18:27:40+11,2023-11-30 18:14:00+11,RecentlyOccupied
391737,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-11-30 19:42:20+11,2023-11-30 18:39:40+11,RecentlyOccupied
395147,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-11-30 21:33:02+11,2023-11-30 21:33:02+11,RecentlyOccupied
400853,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-01 08:10:40+11,2023-12-01 08:10:40+11,CurrentlyOccupied
404290,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-12-01 10:56:00+11,2023-12-01 10:56:00+11,RecentlyOccupied
407135,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-01 11:36:20+11,2023-12-01 11:36:02+11,RecentlyOccupied
409727,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-01 12:12:20+11,2023-12-01 12:12:20+11,CurrentlyOccupied
412188,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,4,2023-12-01 12:45:42+11,2023-12-01 11:08:22+11,NotOccupied
415097,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-01 13:25:20+11,2023-12-01 13:25:20+11,CurrentlyOccupied
419147,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-12-01 14:19:44+11,2023-12-01 13:18:40+11,RecentlyOccupied
421941,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-12-01 14:56:40+11,2023-12-01 14:37:42+11,RecentlyOccupied
424777,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-01 15:35:22+11,2023-12-01 15:08:40+11,NotOccupied
426694,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-01 16:04:44+11,2023-12-01 15:37:00+11,RecentlyOccupied
430558,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-12-01 17:05:20+11,2023-12-01 17:02:40+11,RecentlyOccupied
435334,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-01 18:20:20+11,2023-12-01 18:00:40+11,RecentlyOccupied
439053,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-01 20:00:04+11,2023-12-01 18:00:40+11,RecentlyOccupied
444376,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-02 08:44:40+11,2023-12-02 08:44:40+11,RecentlyOccupied
449430,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-02 10:54:40+11,2023-12-02 10:41:20+11,RecentlyOccupied
452363,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-02 11:51:20+11,2023-12-02 11:51:20+11,CurrentlyOccupied
454840,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-12-02 12:41:22+11,2023-12-02 12:37:00+11,RecentlyOccupied
458842,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-02 14:13:20+11,2023-12-02 14:02:40+11,NotOccupied
462179,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-02 15:25:00+11,2023-12-02 15:14:00+11,NotOccupied
464404,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-02 16:16:20+11,2023-12-02 15:25:20+11,RecentlyOccupied
465826,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-12-02 16:58:40+11,2023-12-02 16:52:24+11,NotOccupied
470049,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-12-02 19:11:40+11,2023-12-02 19:11:00+11,RecentlyOccupied
477336,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-03 01:13:20+11,2023-12-03 01:13:20+11,CurrentlyOccupied
481179,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-12-03 10:55:22+11,2023-12-03 10:52:04+11,RecentlyOccupied
482474,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-03 11:48:22+11,2023-12-03 11:48:22+11,CurrentlyOccupied
484059,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,2,2023-12-03 12:42:00+11,2023-12-03 12:42:00+11,NotOccupied
484982,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-12-03 13:21:20+11,2023-12-03 13:15:20+11,RecentlyOccupied
486137,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-03 13:58:40+11,2023-12-03 13:35:00+11,RecentlyOccupied
486882,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,4,2023-12-03 14:24:02+11,2023-12-03 13:35:00+11,RecentlyOccupied
487906,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,3,2023-12-03 14:55:00+11,2023-12-03 14:02:00+11,NotOccupied
489782,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-03 15:35:42+11,2023-12-03 15:08:22+11,NotOccupied
492533,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-12-03 16:50:02+11,2023-12-03 16:40:24+11,NotOccupied
494589,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-03 17:31:24+11,2023-12-03 17:17:24+11,RecentlyOccupied
497297,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,NotOccupied,0,2023-12-03 19:16:40+11,2023-12-03 19:16:40+11,RecentlyOccupied
502333,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-12-04 08:18:40+11,2023-12-04 08:18:40+11,CurrentlyOccupied
505588,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-04 10:05:20+11,2023-12-04 10:05:20+11,RecentlyOccupied
508962,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-04 11:24:42+11,2023-12-04 11:01:00+11,NotOccupied
511758,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-04 12:19:44+11,2023-12-04 11:57:00+11,RecentlyOccupied
513475,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-04 12:50:40+11,2023-12-04 12:50:40+11,CurrentlyOccupied
515504,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-04 13:21:40+11,2023-12-04 13:21:40+11,NotOccupied
518217,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,RecentlyOccupied,0,2023-12-04 14:08:42+11,2023-12-04 14:08:42+11,CurrentlyOccupied
520198,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-04 14:34:02+11,2023-12-04 13:46:20+11,RecentlyOccupied
522359,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-04 15:07:22+11,2023-12-04 15:03:40+11,RecentlyOccupied
525308,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,2,2023-12-04 15:47:04+11,2023-12-04 15:32:40+11,RecentlyOccupied
528949,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-04 16:34:04+11,2023-12-04 16:05:40+11,NotOccupied
531660,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,3,2023-12-04 17:07:20+11,2023-12-04 16:59:40+11,RecentlyOccupied
534417,56923747-b390-4f2a-8930-808429132266,0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,CurrentlyOccupied,1,2023-12-04 17:43:22+11,2023-12-04 17:42:20+11,RecentlyOccupied
538342,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-04 18:54:24+11,2023-12-04 18:54:24+11,NotOccupied
541456,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,CurrentlyOccupied,1,2023-12-04 20:57:04+11,2023-12-04 20:57:04+11,NotOccupied
543758,56923747-b390-4f2a-8930-808429132266,941f0352-bb69-47d0-a9c5-ac29eb4f7319,RecentlyOccupied,0,2023-12-05 06:12:04+11,2023-12-05 06:12:04+11,CurrentlyOccupied
